Fecha,Real,Pronostico_XGBoost,IC_Inferior,IC_Superior,Error_Abs,Error_Pct
2025-10-01,313009859577.27,2.94596e+11,255224576000.0,305015828480.0,18413874169.27002,-5.882841580178514
2025-11-01,273825294334.44,2.6974826e+11,254907014348.8,316059820851.2,4077037566.4400024,-1.4889192674291296
2025-12-01,241029180476.59,2.2224847e+11,212500750336.0,264082893209.6,18780711996.589996,-7.791883107039016
